"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9"
"regular_classroom",0.197,-0.031,-0.112,-0.147,0.012,-0.052,0.059,0.228,0.007
"skipped_grades",0.139,0.042,-0.009,0.099,-0.094,-0.181,0.08,-0.046,0.099
"individual_education_plan0x2F504_plan",-0.032,-0.01,0.676,0.044,0.081,0.081,-0.005,0.116,0.006
"learning_preference_teacher",0.104,0.051,0.12,0.032,-0.365,-0.167,-0.188,0.261,-0.038
"learning_preference_visual",-0.125,-0.09,-0.094,0.298,-0.09,-0.027,-0.035,-0.05,0.008
"learning_preference_demonstrations",0.112,-0.097,0.149,0.09,0.062,-0.088,-0.255,-0.018,-0.02
"learning_preference_peer0x2Dinteractions",-0.244,-0.04,-0.171,0.051,0.052,-0.03,-0.159,0.071,-0.063
"learning_preference_discussions",-0.146,-0.022,-0.1,-0.124,0.072,0.2,-0.141,0.372,-0.1
"mother_learning_problems",-0.028,0.026,0.05,0.021,0.048,0.096,-0.138,0.07,0.019
"mother_speech_problems",0.025,0.001,0.275,0.172,0.05,-0.17,-0.118,-0.049,-0.103
"mother_behavioral_problems",0.069,-0.545,-0.096,0.264,0.126,0.084,0.125,0.18,-0.037
"mother_medical_problems",-0.044,-0.11,-0.087,0.057,0.097,0.048,-0.098,0.259,-0.108
"mother_emotional_problems",-0.042,-0.064,-0.026,-0.024,0.255,-0.106,0.258,-0.112,-0.01
"mother_drug_alcohol_abuse",0.076,0.019,-0.032,-0.019,-0.061,0.184,0.007,0.131,-0.268
"father_learning_problems",-0.044,0.066,0.051,0.118,0.286,-0.213,0.044,-0.218,-0.027
"father_speech_problems",0.068,0.139,-0.014,0.023,0.367,-0.032,-0.146,-0.101,-0.217
"father_behavioral_problems",0.247,0.135,-0.166,-0.199,0.294,-0.109,-0.132,0.029,0.142
"father_medical_problems",-0.217,0.13,-0.009,-0.12,0.313,0.112,-0.071,0.057,-0.068
"father_emotional_problems",-0.042,-0.247,-0.154,-0.025,0.43,0.09,0.085,-0.04,0.127
"father_drug_alcohol_abuse",-0.01,-0.127,0.039,0.079,0.595,0.092,-0.075,0.12,-0.212
"family_history_learning_problems",0.031,0.023,0.032,-0.127,0.378,-0.045,0.007,-0.058,-0.002
"family_history_ADD",0.109,-0.041,-0.035,-0.137,0.342,-0.039,0.032,-0.125,-0.1
"family_history_behavioral_problems",0.068,-0.223,-0.184,0.038,0.451,-0.16,-0.121,0.07,0.043
"family_history_neurological_problems",0.159,-0.263,-0.147,-0.085,0.291,0.219,-0.006,-0.008,-0.209
"KeyMath_Numeration_Raw",0.723,0.096,0.048,0.051,0.079,-0.106,-0.047,0.077,0.105
"KeyMath_ProblemSolving_Raw",0.636,0.215,-0.104,0.06,0.207,-0.112,0.018,0.076,0.004
"KeyMath_ProblemSolving_ScS",0.104,0.029,-0.045,0.094,0.303,-0.136,0.398,0.274,0.136
"TOMA0x2D2_Attitudes_Raw",0.214,-0.132,0.183,-0.267,0.249,-0.025,0.123,0.087,0.135
"TOWRE_SW_Raw",0.483,0.162,-0.059,0.423,-0.049,0.258,-0.111,-0.146,0.013
"TOWRE_SW_StS",-0.105,0.058,0.041,0.448,0.072,0.271,0.2,0.12,0.106
"TOWRE_PD_Raw",0.322,0.336,0.031,0.504,0.029,0.221,-0.131,-0.101,-0.067
"WASI_Vocab_Raw",0.844,-0.206,-0.075,0.035,-0.232,0.034,0.682,-0.223,-0.092
"WASI_Vocab_T0x2DScore",0.248,-0.36,-0.032,0.049,-0.147,0.007,1.107,0.005,0.068
"WASI_BD_Raw",0.63,0.097,-0.001,0.059,-0.025,-0.111,0.058,0.374,-0.139
"WASI_Sim_Raw",0.795,0.048,-0.098,0.07,0.031,0.014,0.236,-0.222,-0.218
"WASI_MR_Raw",0.57,0.163,0.022,0.054,-0.129,-0.097,-0.115,0.399,-0.035
"WJ0x2DIII_WordID_Raw",0.545,-0.332,0.101,0.998,-0.112,-0.088,-0.019,-0.123,-0.104
"WJ0x2DIII_WordID_StS",-0.023,0.117,0.122,0.714,-0.024,-0.028,0.223,0.088,0.019
"WJ0x2DIII_WA_Raw",0.035,1.062,-0.146,-0.017,0.053,-0.058,-0.333,0.009,0.103
"WJ0x2DIII_WA_StS",0.002,0.32,0.047,0.474,0.161,0.014,0.035,0.037,0.015
"WJ0x2DIII_PassComp_Raw",0.385,0.934,-0.069,-0.209,-0.005,0.068,-0.099,-0.072,-0.151
"WJ0x2DIII_PassComp_StS",0.16,0.1,-0.037,0.379,0.1,-0.1,0.284,0.059,-0.048
"WJ0x2DIII_MathFluency_Raw",0.568,-0.131,0.024,0.076,-0.057,0.058,-0.161,-0.294,0.692
"WJ0x2DIII_MathFluency_StS",-0.037,0.067,0.002,-0.109,0.033,0.029,0.134,-0.084,1.003
"WJ0x2DIII_SpatialRelations_Raw",0.529,-0.039,0.114,0.043,-0.182,-0.055,-0.038,0.59,-0.093
"WJ0x2DIII_SpatialRelations_StS",0.242,-0.024,0.218,-0.067,-0.073,0.014,0.116,0.748,-0.112
